@@ -1,39 +0,0 @@
MainChar 94.0 385.5
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 32.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 64.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 96.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 128.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 192.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 224.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 256.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 288.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 320.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 352.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 384.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 416.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 448.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 480.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 512.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 544.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 576.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 608.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 640.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 672.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 704.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 736.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 768.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 800.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 832.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 864.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 896.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 928.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 960.0 608.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 992.0 608.0

Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 576.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 544.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 512.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 480.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 448.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 416.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 384.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 352.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 0.0 320.0

Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 576.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 544.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 512.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 480.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 448.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 416.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 384.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 352.0
Tile file:src/game-resources/world_sprites/Tiles/Tile_33.png 160.0 320.0
